Target_Year,Projected_Emissions,Change_from_Baseline_%,Years_Ahead
2025,24615.15217933788,9.070368698019895,7
2030,26077.30460500604,15.549203482319813,12
2035,27539.457030674203,22.028038266619745,17
2040,29001.60945634236,28.506873050919662,22
2045,30463.76188201052,34.98570783521958,27
2050,31925.91430767868,41.4645426195195,32
